"gene","variance","is_hvg"
"CLIC3",0.955370243070736,TRUE
"SLC2A10",0.954773894939818,TRUE
"FASN",0.954443238797437,TRUE
"ISOC1",0.954406669498512,TRUE
"FCER1A",0.953853433217223,TRUE
"NR1D2",0.95320142736848,TRUE
"TFPI",0.951209018879988,TRUE
"VAV3",0.950687282215924,TRUE
"AEBP1",0.949521698626439,TRUE
"CHST1",0.949028855260491,TRUE
"SLC26A3",0.94723634284559,TRUE
"SDC2",0.946565824527524,TRUE
"TPD52L1",0.946200312932537,TRUE
"CHAD",0.943846743194944,TRUE
"MAD2L1",0.943395595379089,TRUE
"FGFR3",0.943097963687039,TRUE
"MMP2",0.942170131757924,TRUE
"IRS1",0.941181027668159,TRUE
"ST6GALNAC5",0.939823401845284,TRUE
"ALCAM",0.938543042342779,TRUE
"RGS5",0.937903805432215,TRUE
"PNMA8A",0.937394307283071,TRUE
"SOCS2",0.936002161805292,TRUE
"SYT1",0.935894329151979,TRUE
"EGR3",0.934949054929455,TRUE
"PRC1",0.934434181241894,TRUE
"COL3A1",0.932219903705086,TRUE
"H2BC5",0.930157772126677,TRUE
"SSPN",0.92787395545364,TRUE
"FLRT2",0.925438529702542,TRUE
"H2BC4",0.925352087606884,TRUE
"RECK",0.924459331293124,TRUE
"OSR2",0.920395748626149,TRUE
"PYCARD",0.918535676052146,TRUE
"SULF1",0.916457479607477,TRUE
"PIK3R1",0.915250118815444,TRUE
"PTN",0.912175870564557,TRUE
"EFS",0.910034984011863,TRUE
"COL1A1",0.909644870038715,TRUE
"GPRC5A",0.909496803684707,TRUE
"EVL",0.905960853703609,TRUE
"FXYD3",0.905789011443682,TRUE
"NAV3",0.905524224762308,TRUE
"CAMK2N1",0.90535703897807,TRUE
"IGHV3-30",0.905280811083433,TRUE
"IGHV3-33",0.905280811083433,TRUE
"SLC38A1",0.899336372598354,TRUE
"UBE2S",0.899239064746275,TRUE
"ELN",0.898613301391271,TRUE
"ADM",0.89808281000878,TRUE
"CCN5",0.893972550965826,TRUE
"KRT18",0.8937650202865,TRUE
"DPT",0.893679227970551,TRUE
"SERPINI1",0.89059034405613,TRUE
"AQP1",0.890573869385823,TRUE
"CST4",0.890383747199165,TRUE
"TYMS",0.890132595485507,TRUE
"SERPINE2",0.889271415579251,TRUE
"SGCE",0.889127307146508,TRUE
"PCLAF",0.886051672970221,TRUE
"DTL",0.884713358564355,TRUE
"SOX9",0.884652392278721,TRUE
"ZNF652",0.882442203356278,TRUE
"HTRA1",0.881716877584775,TRUE
"TRIM29",0.880079597274126,TRUE
"COL6A2",0.879126498339114,TRUE
"MYC",0.87850789131776,TRUE
"RAB31",0.875564986644204,TRUE
"FADS2",0.872515270908566,TRUE
"SLC27A2",0.871900339991831,TRUE
"IER3",0.869449846318051,TRUE
"MAGEA12",0.869421119829208,TRUE
"ALDH1A1",0.86910966799386,TRUE
"H3C10",0.869030857554632,TRUE
"ADCY1",0.867407707678796,TRUE
"EPCAM",0.866161049370881,TRUE
"SNAI2",0.865993026030991,TRUE
"HSPB1",0.865825244998417,TRUE
"NEBL",0.865732660873609,TRUE
"PGGHG",0.865665122594018,TRUE
"TPH1",0.86503477007747,TRUE
"C1QTNF3",0.864650634481013,TRUE
"FOLR1",0.8638978882794,TRUE
"PLK2",0.863766587366488,TRUE
"CPA3",0.863749136082605,TRUE
"PTGER3",0.862456541052207,TRUE
"IL20RA",0.862256014185875,TRUE
"H4C8",0.861086293027997,TRUE
"ADAM12",0.860749274031144,TRUE
"CCL5",0.860533297799287,TRUE
"TTK",0.860417936422432,TRUE
"LHFPL6",0.858764853749138,TRUE
"XIST",0.85755967336373,TRUE
"SORBS2",0.85651058951622,TRUE
"ANO1",0.856019098732406,TRUE
"ITGB6",0.854910780758795,TRUE
"LINC02478",0.854910780758795,TRUE
"SPARCL1",0.85436072711317,TRUE
"C1orf116",0.853893440891294,TRUE
"PLXDC2",0.853890340901828,TRUE
"RND3",0.853030750319782,TRUE
"CNN3",0.850769066990684,TRUE
"ADAM9",0.849311275780743,TRUE
"ASPH",0.849213498050538,TRUE
"ORM1",0.848409491912309,TRUE
"PLSCR4",0.846984161493812,TRUE
"GEM",0.846657988350357,TRUE
"CLSTN2",0.84586993385236,TRUE
"IMPA2",0.844708145004445,TRUE
"SAA2-SAA4",0.844682064464778,TRUE
"CD69",0.844540410075462,TRUE
"ADAMDEC1",0.844016021229413,TRUE
"ACKR3",0.843377326595161,TRUE
"H2AC8",0.839936112233518,TRUE
"RGS1",0.838337039466815,TRUE
"ACTG2",0.83555681553857,TRUE
"TIMP3",0.835160184974561,TRUE
"PCSK6",0.833754877972609,TRUE
"KCTD3",0.832761450793628,TRUE
"IGLL3P",0.831263031606958,TRUE
"FZD7",0.827129698377323,TRUE
"QDPR",0.8258771847109,TRUE
"TMEM158",0.825861437516315,TRUE
"TOM1L1",0.824151228629831,TRUE
"LOXL1",0.823340446692623,TRUE
"KPNA2",0.822421233373428,TRUE
"SHANK2",0.821862559093318,TRUE
"INPP4B",0.818049970182497,TRUE
"PDE4B",0.817752666606703,TRUE
"OMD",0.817568601322137,TRUE
"NEAT1",0.815355487661167,TRUE
"IL7R",0.814044257297912,TRUE
"GINS1",0.813781601477463,TRUE
"CEP55",0.813267010845396,TRUE
"ZFPM2",0.812986529827163,TRUE
"EFHD1",0.811843536473725,TRUE
"PCYOX1",0.811556719242345,TRUE
"NEK2",0.811417483887127,TRUE
"CLCA2",0.811412246646175,TRUE
"PGR",0.810924078394668,TRUE
"PSMB9",0.810743105973153,TRUE
"CCNB1",0.810057823756252,TRUE
"TARP",0.809927339480346,TRUE
"TRGC1",0.809927339480346,TRUE
"TRGC2",0.809927339480346,TRUE
"TRGV9",0.809927339480346,TRUE
"MEIS2",0.809047201826799,TRUE
"OPRPN",0.807985717170054,TRUE
"CCNE2",0.807097444506018,TRUE
"GGT1",0.806141967509872,TRUE
"GGT2P",0.806141967509872,TRUE
"GGTLC1",0.806141967509872,TRUE
"GGTLC2",0.806141967509872,TRUE
"LOC102724197",0.806141967509872,TRUE
"DDIT4",0.804694947616817,TRUE
"NUCB2",0.803693270000262,TRUE
"NNMT",0.802569575787237,TRUE
"C1orf115",0.800169572455788,TRUE
"ZCCHC24",0.799884605814694,TRUE
"GUSBP11",0.798916089293769,TRUE
"LIMCH1",0.797875480372215,TRUE
"BBX",0.796993603722901,TRUE
"MS4A4A",0.796348772113379,TRUE
"FAP",0.792482079183307,TRUE
"CELSR1",0.790228794363033,TRUE
"MEST",0.789762702339396,TRUE
"C1S",0.789643087585198,TRUE
"JPT1",0.788971252389849,TRUE
"PFKP",0.788632751702095,TRUE
"ADD3",0.787871378997966,TRUE
"GUSBP15",0.786988946819241,TRUE
"GUSBP3",0.786988946819241,TRUE
"TRBC1",0.786761451261821,TRUE
"TRBV19",0.786761451261821,TRUE
"ZBTB38",0.784221114871217,TRUE
"AR",0.783016337517737,TRUE
"VCAM1",0.782391344489183,TRUE
"PCSK1",0.782106159750264,TRUE
"FKBP5",0.781832252984809,TRUE
"AKR1B10",0.780683075152322,TRUE
"APOC1",0.779777166266187,TRUE
"CXCR4",0.779070801788462,TRUE
"FCGBP",0.7772937521988,TRUE
"XBP1",0.776663528145754,TRUE
"CRISPLD2",0.776493067219134,TRUE
"RCAN1",0.776464124544426,TRUE
"ELAPOR1",0.775925928602011,TRUE
"MAGI2",0.775764711256912,TRUE
"WLS",0.775265615660641,TRUE
"RSAD2",0.775031692323473,TRUE
"C3",0.774843729014166,TRUE
"TNFAIP6",0.77447229407055,TRUE
"SERPINF1",0.77397625742647,TRUE
"LAPTM4B",0.773804927913171,TRUE
"GSTT1",0.771124030993576,TRUE
"ASPM",0.769258736446922,TRUE
"PLAAT3",0.768912208002483,TRUE
"PITX1",0.768709415175908,TRUE
"EGR1",0.768162456533964,TRUE
"CKMT1A",0.766806571894379,TRUE
"CKMT1B",0.766806571894379,TRUE
"TRPS1",0.766775690306103,TRUE
"ZSCAN18",0.766236613309663,TRUE
"ECM2",0.765730874973348,TRUE
"GCH1",0.764913932891625,TRUE
"LDHB",0.764857544558173,TRUE
"CAP2",0.764463791058615,TRUE
"PRSS23",0.763686062840361,TRUE
"PLS3",0.761738913081842,TRUE
"RACGAP1",0.760498954031332,TRUE
"PSMD3",0.759990987518486,TRUE
"IQGAP2",0.759914135030553,TRUE
"UBE2E3",0.759013941026119,TRUE
"KRT16",0.757813914331221,TRUE
"GLA",0.757182983620544,TRUE
"MFAP3L",0.756557879677882,TRUE
"SLC26A2",0.755704286413783,TRUE
"NAV2",0.755519323476869,TRUE
"WWTR1",0.755410855432426,TRUE
"CCR7",0.75539145509029,TRUE
"FHL2",0.754592773918247,TRUE
"ERLIN2",0.754126035875416,TRUE
"MMP13",0.75377642876574,TRUE
"DHCR24",0.753150624177105,TRUE
"YBX3",0.753079788484935,TRUE
"RBBP8",0.75295132602447,TRUE
"IFI44",0.751650681971048,TRUE
"RHOB",0.751645263410834,TRUE
"MAOA",0.751428974531241,TRUE
"CASD1",0.75111791316517,TRUE
"AGT",0.750018910625906,TRUE
"ADGRG6",0.749695010810958,TRUE
"TPM2",0.749245697319618,TRUE
"TMEM97",0.748653683886537,TRUE
"ANXA9",0.748546009344664,TRUE
"TPBG",0.745909685267794,TRUE
"AK4",0.745341155823877,TRUE
"TXNIP",0.7452619310359,TRUE
"CEP15",0.743379478929666,TRUE
"MFAP2",0.7425262390713,TRUE
"FRZB",0.740906523167681,TRUE
"SYBU",0.740788527485496,TRUE
"AOC3",0.74032791082693,TRUE
"SPON1",0.739927023758722,TRUE
"FAT1",0.739622071562911,TRUE
"FBN2",0.739068519311551,TRUE
"CHI3L2",0.739046401163562,TRUE
"KLF9",0.738533952091157,TRUE
"BTG2",0.738386995069307,TRUE
"SPOCK1",0.735586677217011,TRUE
"TMEM176B",0.734583698834375,TRUE
"ACP5",0.734515236940519,TRUE
"MYO6",0.734465468693619,TRUE
"TRH",0.733847392141351,TRUE
"PROS1",0.732760548550862,TRUE
"ID2B",0.732569806715567,TRUE
"NETO2",0.732425047020644,TRUE
"MRC1",0.731958387724925,TRUE
"HLA-DRA",0.731383189551708,TRUE
