"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
0.731369788837082,6.3922208820167,6.34900700729432,2.14880361855695e-09,2.71206871523609e-07,11.1344804622122,"DSC2"
-0.731129321810942,8.84165252990041,-6.75779915539909,2.4841793608411e-10,4.45550642995065e-08,13.2012545368849,"ERBB3"
0.730979703190383,6.54311431916821,4.24199659001023,3.74135914068344e-05,0.000658894915331473,1.8683767108188,"S100A2"
-0.730472266568222,10.109724126229,-5.86073788308362,2.55935382838592e-08,2.02828790899584e-06,8.76696013051016,"BTG2"
-0.727591389013924,9.45861153391418,-6.67623077885889,3.84257024466494e-10,6.38757012256436e-08,12.7831051344257,"KDM4B"
-0.727350678029919,8.32023303322313,-5.92707573429451,1.84031009626991e-08,1.5389734308132e-06,9.08172410955679,"MREG"
-0.724696643312397,7.22070629547892,-5.39844498839957,2.39265292182673e-07,1.21694970065001e-05,6.63807407171927,"PCSK6"
0.724107854659332,5.3737549019236,4.17770265858615,4.83299730001896e-05,0.000809093704134067,1.62903861394494,"CLDN8"
0.721879594848594,5.88259728427092,4.89809782043146,2.35312828473122e-06,7.27335411545832e-05,4.47086697498777,"ANXA3"
0.720769516372938,8.02820107112263,4.40228394725596,1.95265489281544e-05,0.000389132146841628,2.47758756271661,"AKR1C2"
-0.720746937352485,7.64917635830079,-4.62358423166643,7.74046787152636e-06,0.000187407313599957,3.34738142047036,"CYBRD1"
-0.719317580454707,10.3772264093214,-7.41763981004458,6.62647070843813e-12,2.86563573953835e-09,16.6799075133554,"BHLHE40"
0.718276803117886,7.1835381134013,6.73641084413365,2.78594036056441e-10,4.7893489593315e-08,13.0913417736576,"ALDH1A3"
-0.716491394657584,6.19634099095986,-3.78587172604592,0.000216382414589056,0.00266682521994884,0.234681272410569,"ELOVL2"
-0.715089912348348,8.22675972539383,-5.78425530145111,3.73318768681758e-08,2.75016774392331e-06,8.40686884654897,"MAPT"
-0.712093198937401,8.02965575578289,-5.51718771465774,1.36222053441953e-07,7.80186054818179e-06,7.17378176515211,"ELAPOR1"
-0.711675806580464,11.1505681046114,-2.96063155226955,0.00353837196330013,0.0230904482882433,-2.31792681854121,"KRT19"
0.710838444105383,5.25861955578096,5.58909419100378,9.64928396213475e-08,5.84575065279372e-06,7.50199280178708,"MFAP3L"
-0.708870535557189,9.65988423133992,-3.91213319610451,0.000135055050351677,0.00183177650879972,0.67173309323497,"PLAAT4"
-0.708623354172611,8.54999414502763,-8.42559593362787,1.97406666634733e-14,2.44622752081641e-11,22.2734777087809,"P4HTM"
-0.708257869195442,10.5149437878217,-6.23435469424937,3.88365475793203e-09,4.26920145204609e-07,10.5682504853188,"WWP1"
0.70617700175527,6.12553948219049,3.8066286023834,0.000200403047491515,0.0024969780076388,0.305715494345806,"HPGD"
-0.703946896720472,10.5926210247972,-6.89347943954135,1.19525700623266e-10,2.71542470865956e-08,13.9028650675536,"CST3"
0.697337928731316,7.05815086102262,4.67687689913045,6.16547227874091e-06,0.000156501960207667,3.56169271560521,"INAVA"
-0.696542109392555,10.8122183975954,-5.82013778493866,3.12839797340768e-08,2.37468819683022e-06,8.57543139208476,"ELOVL5"
0.696318340507176,7.8903445609944,7.14509204524122,3.0197248731913e-11,9.14708216588235e-09,15.2231954050227,"NXN"
0.696318340507176,7.8903445609944,7.14509204524122,3.0197248731913e-11,9.14708216588235e-09,15.2231954050227,"RHBDL2"
0.69625398702609,8.68115056044028,4.28977980051744,3.08756375461697e-05,0.000565679859397633,2.04812821652791,"AKR1C1"
0.69609881633077,4.9576588974653,5.44601653238682,1.91106345182069e-07,1.03371848856221e-05,6.8517439660471,"KRT16"
0.693235934626,5.68532986116977,6.05071408993886,9.89475490376393e-09,9.238041376247e-07,9.67428997287915,"VLDLR"
-0.69030689705107,8.95166151421399,-4.54470252406557,1.0803759706e-05,0.000242701283812789,3.03359418780366,"H2AC6"
-0.6891637060909,9.02956916965412,-4.81347389008949,3.41357711273034e-06,9.71574162729169e-05,4.11939906055424,"PYCARD"
-0.687878013937575,7.89343580842875,-7.76606192441538,9.18714578312532e-13,5.96333257951339e-10,18.5790781358871,"KIAA0040"
0.687577752995035,8.03384492684144,3.5855210958111,0.0004466065774172,0.00470092220600298,-0.434208054929324,"KCNK1"
-0.68617953705567,8.30891788638524,-4.35326074606599,2.38660369596123e-05,0.000458194295487993,2.28938215753653,"TBX3"
0.681787642105101,8.51450540890836,2.84641657619083,0.00500208309386327,0.0299181196368803,-2.62775339919793,"VTCN1"
-0.68168256117764,8.51492184944638,-3.80110919003353,0.000204539269862926,0.00254618702054935,0.286795471420575,"WFDC2"
-0.680639795450884,7.1349605762936,-2.55074154219825,0.0116893389531181,0.0559864298207847,-3.37836559722964,"SLC1A1"
-0.680354615868293,6.95136714700521,-3.85116516954347,0.000169812505392681,0.00215723603076201,0.459214458494936,"KCNE4"
-0.679811445685422,7.6624894236779,-4.67373246271763,6.24909959014064e-06,0.000157743475024457,3.54899621308742,"IRS1"
0.679126457724153,4.81396217848001,5.95522198430166,1.59892878626866e-08,1.36218739285176e-06,9.21594916604923,"BBOX1"
